country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban
AUT,2023,100.0,5.27748012542725,100.902870178223,100.504371643066,2716.0,2629.0,12.0,98.030403137207,12.0,56579.504175468,110.661185167232,7.1747129124039,8.5,0.249835075702841,2810159.0,2.6,100.0,100.0,100.0
AZE,2023,99.94000244140624,3.66400003433227,101.979698816442,92.7402972401367,5710.0,3747.0,11.0,96.2334128073598,9.0,7133.02838048328,122.854906231095,-9.32261504785629,11.1,-0.0465341720728934,4213127.0,13.3,100.0,100.0,100.0
BDI,2023,18.0,4.87114173892375,101.661087301601,44.9151717353101,218095.988769531,248925.998535156,12.0,47.609493213452,0.0,250.627253097255,533.078271028037,18.9913692679384,33.667,1.12732213399327,10465109.0,31.5,11.6,2.3,65.0
BEL,2023,95.765030263736,6.27796983718872,102.108009338379,142.960266113281,6554.0,6672.0,12.0,94.6245816835048,12.0,55291.4754541329,386.5489276579,5.50779310835875,9.4,0.351059121387102,1466427.0,3.0,100.0,100.0,100.0
BEN,2023,22.59848022460938,3.22974322056608,108.036239624023,43.5606498718262,136278.0,77007.0,6.0,61.6417503356934,6.0,1394.17784721831,125.142195814118,3.38561739537163,33.879,0.912929305071873,6809168.0,46.4,57.0,43.7,70.3
BFA,2023,18.7572840446853,5.32757840997187,72.2385948607578,30.8551216331757,799663.0,847639.0,10.0,51.6947761170006,10.0,873.482589651003,84.1585380116959,1.96648133830102,31.643,1.56857099773712,16627547.0,44.8,21.7,2.0,62.6
BGD,2023,54.68038940429688,2.16213826344701,103.116421399751,65.9856598598849,189119.0,354030.0,5.0,98.0281882152568,5.0,2551.01773827307,1319.17979689183,6.89712404003441,20.353,0.510663653596374,116326899.0,24.4,99.5,99.6,99.5
BGR,2023,99.2355703499393,4.50109004974365,95.4232177734375,95.6239624023438,6566.0,7371.0,12.0,94.4560775756836,9.0,15853.208636704,59.3827929255711,7.99709612160662,8.9,-1.24264933545442,1693375.0,5.0,100.0,100.0,100.0
BHR,2023,89.91000366210938,1.88778167912993,93.8998953080421,104.392938701638,3719.0,4680.0,12.0,88.56187958298,9.0,29290.1284215098,1971.32375,-4.28437217979031,12.46,-71.592446586283,0.0,7.2,100.0,100.0,100.0
BHS,2023,99.0614358584651,2.74191570247934,78.3931934355663,87.1455240465819,4234.0,4365.0,12.0,87.8645014841977,12.0,38231.774484278,39.9040959040959,6.64011757419027,10.852,0.470209773448896,74610.0,11.4,100.0,100.0,100.0
BIH,2023,91.3951215520506,3.24564826597779,101.194877624512,87.8663787841797,738.0,2195.0,9.0,100.520736694336,9.0,8663.02326458629,62.20845703125,7.29122831094762,7.714,-1.73482098987922,1542667.0,5.3,100.0,100.0,100.0
BLR,2023,99.8727964322377,4.9514799118042,95.2183631035768,97.4265999006565,14689.0,11182.0,11.0,94.4563997400778,11.0,7896.75388295584,45.217077292187,8.04676215128896,7.136,-2.1393067520383,1944455.0,1.9,100.0,100.0,100.0
BLZ,2023,93.6500015258789,4.23143005371094,97.7874461619187,83.619553808705,2377.0,2945.0,8.0,96.5262582056893,8.0,7424.75821321022,18.0230600613766,6.6945920915479,18.025,2.3880921854408,238664.0,10.8,99.6,99.4,99.8
BMU,2023,90.29997253417967,1.86510440752276,92.8512496948242,74.3967514038086,39.0,103.0,13.0,102.194358825684,13.0,132604.439086216,1198.11111111111,3.84503523133317,8.046,0.40070969686677604,0.0,13.3,100.0,100.0,100.0
BOL,2023,71.2328109741211,8.31589071412357,98.5726894625786,91.3676827044767,27126.0,31471.0,12.0,96.2025910226778,12.0,4274.70820547613,11.3026483891812,0.189137413602765,21.247,0.415638967378448,3561196.0,20.0,99.8,99.6,99.9
BRA,2023,85.2,5.61922979354858,103.970321655273,106.031188964844,265585.0,319994.0,12.0,94.6245816835048,12.0,10377.5897719195,25.2616884857157,5.15950107501996,12.322,-1.73253623567032,26147729.0,12.5,99.8,99.0,99.9
BRB,2023,86.37000274658203,3.7754499912262,88.0075687838805,102.513702392578,1437.0,1395.0,11.0,92.1521279806822,11.0,25583.878782727,656.595348837209,1.94338334616333,11.173,-0.164840233912927,114562.0,9.3,100.0,100.0,100.0
BRN,2023,91.3909400409159,4.42539978027344,96.9292188716198,91.8381544399811,284.0,1578.0,12.0,101.681320376369,9.0,32890.5491812019,87.0870967741936,-12.8472517283232,13.59,0.613661271050268,115564.0,8.2,100.0,100.0,100.0
BTN,2023,37.30852127075195,5.84519004821777,106.687397950258,86.8564415582911,2949.00020980835,6855.99920272827,11.0,90.8830619139176,0.0,3831.32535494609,20.6183796539067,4.40359357659746,12.663,-0.663464181336079,458185.0,18.5,100.0,100.0,100.0
BWA,2023,81.23590850830078,8.05833660991541,109.27325614686,70.6292572021484,18800.0,20817.0,12.0,101.532181974812,0.0,7826.35376483298,4.37641204806522,1.7390038592787,24.713,0.337998271750929,817953.0,38.2,76.0,25.0,97.7
CAF,2023,30.84333038330078,1.82995911310419,96.8125991821289,15.8074398040772,177758.0,128576.0,13.0,38.4804611206055,10.0,495.978897288721,8.27060419275097,3.57480169810107,46.358,0.312252638155548,2900897.0,60.4,17.6,2.3,37.4
CAN,2023,96.3000913076763,4.88021993637085,94.9523391723633,104.287643432617,61693.0,67528.0,12.0,98.2629928588867,10.0,54220.3285039875,4.56079784268436,1.3572659269347,8.8,1.90841913698121,7004566.0,4.4,100.0,100.0,100.0
CHE,2023,99.6536888771555,4.92419004440308,102.282958984375,102.965591430664,591.0,808.0,13.0,96.9121017456055,10.0,100623.549627296,224.960167938804,0.896277329147281,9.0,-0.506596366223382,1316842.0,3.5,100.0,100.0,100.0
CHL,2023,92.2210770169089,4.89753007888794,100.318382263184,105.83097076416,16670.0,3563.0,12.0,100.907341003418,12.0,17067.0364799154,26.4647249005172,6.58777169908957,8.963,-1.02467261259889,2198671.0,6.2,100.0,100.0,100.0
CHN,2023,95.83999633789062,4.00127983093262,99.1718634239571,92.2603063015232,3912182.0,4336219.0,9.0,103.455256923166,9.0,12951.1782397043,150.264001337848,-0.50570453916356,6.39,-1.00632391653804,486269694.0,4.5,100.0,100.0,100.0
CIV,2023,32.72000122070313,3.42617011070252,91.8093412241399,63.9607557764462,347655.0,316365.0,10.0,75.870809116479,10.0,2591.9659048119,98.0052012578616,3.90243671754979,31.99,1.31277979199272,14520851.0,46.6,72.4,48.0,93.9
CMR,2023,60.22351837158203,2.83907623667935,114.424832636759,44.840795775403,251398.0,55869.0,6.0,72.2156986466489,6.0,1720.47510154506,60.0213386642973,3.57281742916192,33.743,2.0141559382869,12731197.0,41.2,72.0,26.0,95.8
COD,2023,65.8543692952245,2.84466514463005,117.602096557617,55.4860992431641,2649499.0,2580650.0,6.0,75.7079315185547,6.0,660.21205238997,46.6640484329856,11.2860274867788,41.305,2.59275927987299,58845037.0,44.5,22.1,1.0,55.6
COG,2023,71.99141693115234,3.34005209256916,87.880241394043,50.520320892334,84011.0,87114.0,13.0,71.1370697021484,10.0,2477.97845544866,18.1050805270864,-7.56770228699291,30.627,2.36286039950492,2246695.0,27.6,51.3,10.8,69.4
COL,2023,82.2,5.26166009902954,104.830467224121,101.573776245117,131157.0,158138.0,11.0,97.1171035766602,11.0,7000.83660501046,47.1574150518251,6.9523623210511,13.475,0.0718334817848117,11366471.0,10.9,98.7,94.8,100.0
COM,2023,47.02910995483398,2.34146896682989,86.8175281418913,61.7014685443494,15690.0,15216.0,6.0,73.9499297350752,6.0,1560.27378476855,456.951638903815,2.62932529188626,28.653,1.36302793480971,568482.0,35.7,89.8,86.1,98.3
CPV,2023,51.91999816894531,4.3482854136693,102.973013922324,96.4315940376876,14764.0,10087.0,8.0,99.0985576923077,10.0,4794.90121917259,129.610669975186,3.25900393210172,12.33,-3.06117608468991,125848.0,11.0,98.6,96.9,96.5
CRI,2023,84.9,6.24841976165771,106.156616210938,125.510070800781,10864.0,10267.0,11.0,100.666328430176,11.0,16942.0268119375,99.9906972189581,-0.087922596921004,10.179,-1.60203040938352,1078188.0,9.2,100.0,100.0,100.0
CUB,2023,91.94947814941406,8.44086351669284,99.3281733831044,95.5986574273359,11027.0,13542.0,12.0,93.5789089043173,9.0,9605.27914559614,106.165038535645,33.5551619344254,8.706,-0.450406369910594,2520700.0,6.6,100.0,100.0,100.0
CUW,2023,99.4000015258789,5.30074159005788,109.168144897769,123.429739994157,165.0,201.0,12.0,94.6245816835048,12.0,21217.8110321785,350.900900900901,2.40355185282874,7.5,0.785739914387794,13288.0,13.3,100.0,100.0,100.0
