country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use
GIN,2023,,1.72470879088585,,,,,,6.0,,,,,,6.0,1555.49375806861,58.6255412664822,6.09250536857687,33.848,1.81153958670864,8982471.0,61.5,0.5,51.1,25.7,92.5,,
GMB,2023,46.39799880981445,2.80838156544977,98.7359670428779,,66.14583333333334,27969.0,53459.0,9.0,80.1995474182267,5.753217259651779,48.22104466313399,9.793814432989691,75.52742616033755,9.0,883.024111719809,266.5854743083,13.7191839595177,30.429,0.888360801659817,976565.0,33.8,0.524,66.9,35.3,85.3,,
GNB,2023,,,,,,,,,,,,,,9.0,988.087886357022,76.5767780938834,5.13638471744318,30.037,1.45863100806321,1171580.0,43.1,0.514,40.5,20.7,64.3,,
GNQ,2023,,,,,,,,6.0,,,,,,6.0,6677.793435386,65.8662745098039,-7.64752019845844,29.604,1.58941515773627,533405.0,49.1,0.674,66.9,2.4,89.0,,
GRC,2023,97.5472145099617,,102.020217895508,105.191741943359,,,,12.0,99.9148864746094,,,,,9.0,23343.7103964562,80.7260512024826,6.26971104079917,6.8,-1.33505082392628,2208999.0,3.2,0.908,100.0,100.0,100.0,4694.30463708538,19.5740641114722
GRD,2023,97.1626006188337,5.12544845968893,,,100.0,,,12.0,,100.0,100.0,100.0,100.0,12.0,11414.4781691181,344.355882352941,4.45559777901883,11.711,-0.0026884611250113,74391.0,16.7,0.791,94.4,,,,
GTM,2023,63.1,3.10633993148804,102.032228557129,47.3762534803949,,97975.0,99979.0,12.0,85.8256653187583,,,,,9.0,5758.32760847852,169.138092571855,6.54004024227952,20.809,0.754285279799409,8045936.0,17.9,0.662,100.0,100.0,100.0,,
GUY,2023,,,94.4460553841055,84.4850463867188,47.05881881713867,8815.0,8547.0,6.0,,54.83146067415731,75.14910888671875,61.73913043478261,100.0,6.0,20473.7002190617,3.91376811594203,-14.0864299215933,20.287,0.556629193825565,607657.0,23.8,0.776,98.9,91.6,98.9,,
HKG,2023,100.0,3.80327010154724,,,100.0,,,12.0,,100.0,100.0,100.0,100.0,9.0,50562.3633144379,7177.2380952381,2.892947554779,4.4,,0.0,,0.955,100.0,100.0,100.0,,
HND,2023,62.43230819702148,4.54962037172702,82.5478821305927,54.5012702941895,,145351.0,164164.0,11.0,73.4535986087997,,,,,11.0,3227.45762509776,95.1367503798373,6.04752279899292,21.963,0.577575397928875,4437494.0,13.3,0.645,95.6,88.8,100.0,752.100710474952,10.8954819148074
HRV,2023,99.4704870793649,,101.157791137695,105.025161743164,,,,8.0,100.516410827637,,,,,8.0,22184.2279304842,68.9722301644031,12.8711445045919,8.3,-0.467432383733313,1650280.0,3.9,0.889,100.0,100.0,100.0,4484.04352063873,17.5735557339993
HTI,2023,,0.964648012977964,,,,,,6.0,,,,,,6.0,1705.75808460999,422.256821480406,31.5119631448975,22.2,-0.146189775429166,5300872.0,40.3,0.554,51.3,2.9,84.0,,
HUN,2023,99.7482633639565,,103.570762634277,105.419059753418,,3789.0,4196.0,12.0,96.809211730957,,,,,10.0,22230.6277875187,105.108327854482,15.1060960246171,9.1,-0.583635146056761,2849618.0,3.2,0.87,100.0,100.0,100.0,4604.58127063007,16.034717039174
