dataset,tipo_analisis,grupo,variable,valor
desarrollo,nulos_absolutos_por_pais,BMU,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BMU,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BMU,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BMU,hdi,65
desarrollo,nulos_absolutos_por_pais,BMU,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BMU,tasa_mortalidad_infantil,65
desarrollo,nulos_absolutos_por_pais,BMU,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BMU,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,BMU,year,0
desarrollo,nulos_absolutos_por_pais,BOL,country_code,0
desarrollo,nulos_absolutos_por_pais,BOL,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BOL,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BOL,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BOL,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BOL,hdi,57
desarrollo,nulos_absolutos_por_pais,BOL,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BOL,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BOL,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BOL,tasa_pobreza,39
desarrollo,nulos_absolutos_por_pais,BOL,year,0
desarrollo,nulos_absolutos_por_pais,BRA,country_code,0
desarrollo,nulos_absolutos_por_pais,BRA,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BRA,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BRA,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BRA,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BRA,hdi,57
desarrollo,nulos_absolutos_por_pais,BRA,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BRA,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BRA,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BRA,tasa_pobreza,26
